audience_id,event_name,event_date,store,event_type,campaign,roster,with_pos_record,pos_record_rate,ever_purchased,new_customers,existing_customers,same_day_buyers,same_day_receipts,same_day_revenue,returned_30d,returned_60d,returned_90d,revenue_90d,new_returned_90d,new_revenue_90d,existing_returned_90d,existing_revenue_90d,detected_peak_date,peak_customers,date_check,warnings
277061,House of Puff - Giveaway (not on calendar),2025-06-06,nan,nan,(none),178,178,1.0,178,9,169,31,33,2851.76,82,100,105,62202.67,1,37.01,104,62165.66,2025-06-06,31,confirmed,
293013,Planet Brooklyn 2-day Music Festival (day 2),2025-08-24,DTBK,TTA Brand Event,Planet Brooklyn,227,52,0.229,51,23,28,10,10,672.02,5,8,11,2606.04,5,1042.01,6,1564.03,2025-08-24,10,confirmed,"77% of attendees have never transacted at TTA. This is a result, not a data gap: a persona only receives a POS id once a POS record exists for it.; the latest attendee anchor is 2026-07-12; 90-day figures are still accruing for the slowest returners"
292571,Back to Cool x Cloud Bar USQ,2025-09-04,USQ,In-Store Activation,(none),22,22,1.0,22,7,15,4,4,496.01,9,10,11,4439.63,2,212.0,9,4227.63,2025-07-10,4,insufficient,the latest attendee anchor is 2026-07-10; 90-day figures are still accruing for the slowest returners
329291,"Back to Cool x Cloud Bar (spans 4 stores, Sept 2025)",2025-09-04,Multi,In-Store Activation,(none),179,76,0.425,75,6,69,11,12,424.01,35,42,44,17451.81,2,234.0,42,17217.81,2025-09-04,11,confirmed,"58% of attendees have never transacted at TTA. This is a result, not a data gap: a persona only receives a POS id once a POS record exists for it.; the latest attendee anchor is 2026-07-16; 90-day figures are still accruing for the slowest returners"
294147,One Year Re-Opening Anniversary Party UCB,2025-09-12,Not In Store,Community Programming,(none),40,14,0.35,13,5,8,1,1,62.0,2,2,3,475.01,1,171.0,2,304.01,2023-12-20,2,insufficient,"65% of attendees have never transacted at TTA. This is a result, not a data gap: a persona only receives a POS id once a POS record exists for it.; the latest attendee anchor is 2026-08-01; 90-day figures are still accruing for the slowest returners"
296559,All Things Go Festival Day #1,2025-09-26,Not In Store,TTA Brand Event,All Things Go,2268,377,0.166,371,91,280,8,10,322.02,38,55,67,10350.0,23,3110.0,44,7240.0,2025-09-26,8,confirmed,"83% of attendees have never transacted at TTA. This is a result, not a data gap: a persona only receives a POS id once a POS record exists for it.; the latest attendee anchor is 2026-08-01; 90-day figures are still accruing for the slowest returners"
305960,Witchcraft In-Store: Ithaca Organics,2025-10-09,USQ,In-Store Activation,Witchcraft,12,9,0.75,9,1,8,7,7,158.06,6,8,8,1863.75,0,0.0,8,1863.75,2025-10-09,7,confirmed,
305961,Witchcraft In-Store: Umamii,2025-10-15,SOHO,In-Store Activation,Witchcraft,9,7,0.778,7,2,5,4,4,94.0,3,5,5,597.24,0,0.0,5,597.24,2025-10-15,4,insufficient,
305962,Witchcraft In-Store: Dada @ DTBK,2025-10-23,DTBK,In-Store Activation,Witchcraft,19,16,0.842,16,3,13,12,12,474.0,7,10,11,6183.37,1,50.0,10,6133.37,2025-10-23,12,confirmed,
305963,Witchcraft In-Store: Ravensview @ FIFTH,2025-10-29,FIFTH,In-Store Activation,Witchcraft,17,11,0.647,11,1,10,9,9,319.5,8,8,8,4609.57,0,0.0,8,4609.57,2025-10-29,9,confirmed,
308482,House of High: A Cannabis Imaginarium (runs to 11-29),2025-11-07,SOHO,In-Store Activation,House of High,103,73,0.709,73,29,44,7,9,522.75,24,27,32,10040.36,3,182.0,29,9858.36,2025-11-29,11,MISMATCH,the latest attendee anchor is 2026-05-28; 90-day figures are still accruing for the slowest returners; purchase peak is 2025-11-29 but the mapping says 2025-11-07 — verify the mapping
318908,Ghostface Killah Listening Party,2025-11-15,Multi,TTA Brand Event,(none),35,9,0.257,9,1,8,0,0,0.0,1,2,2,75.0,0,0.0,2,75.0,2024-05-11,2,insufficient,"74% of attendees have never transacted at TTA. This is a result, not a data gap: a persona only receives a POS id once a POS record exists for it."
311312,Artist Events: Andy Frasco - Dec 30,2025-12-30,SOHO,In-Store Activation,Artist Events,210,43,0.205,39,5,34,9,9,881.5,10,17,19,5570.35,2,289.0,17,5281.35,2025-12-30,9,confirmed,"80% of attendees have never transacted at TTA. This is a result, not a data gap: a persona only receives a POS id once a POS record exists for it.; the latest attendee anchor is 2026-05-21; 90-day figures are still accruing for the slowest returners"
316172,Cali Sober Sips 2026: Fifth,2026-01-29,FIFTH,In-Store Activation,Cali Sober Sips,447,124,0.277,124,5,119,14,14,842.41,41,50,56,20590.98,0,0.0,56,20590.98,2026-01-29,14,confirmed,"72% of attendees have never transacted at TTA. This is a result, not a data gap: a persona only receives a POS id once a POS record exists for it.; the latest attendee anchor is 2026-07-02; 90-day figures are still accruing for the slowest returners"
315976,Cali Sober Sips 2026: Fifth,2026-01-29,FIFTH,In-Store Activation,Cali Sober Sips,325,102,0.314,102,5,97,9,9,635.4,31,39,43,17777.34,0,0.0,43,17777.34,2026-01-29,9,confirmed,"69% of attendees have never transacted at TTA. This is a result, not a data gap: a persona only receives a POS id once a POS record exists for it.; the latest attendee anchor is 2026-07-02; 90-day figures are still accruing for the slowest returners"
322625,Open Book Club x TTA (Read & Unwind),2026-03-23,SOHO,In-Store Activation,Open Book Club,113,31,0.274,29,14,15,16,16,784.0,1,1,2,564.0,1,514.0,1,50.0,2026-03-23,16,confirmed,"73% of attendees have never transacted at TTA. This is a result, not a data gap: a persona only receives a POS id once a POS record exists for it.; the latest attendee anchor is 2026-07-26; 90-day figures are still accruing for the slowest returners"
326769,420 2026 OnlyNY Launch Party,2026-04-16,SOHO,In-Store Activation,420,80,32,0.4,32,6,26,18,24,1274.54,8,11,13,5478.01,1,50.0,12,5428.01,2026-04-16,18,confirmed,"60% of attendees have never transacted at TTA. This is a result, not a data gap: a persona only receives a POS id once a POS record exists for it.; the latest attendee anchor is 2026-08-02; 90-day figures are still accruing for the slowest returners"
