day_offset,cum_returners,audience_id,event_name
1,15,277061,House of Puff - Giveaway (not on calendar)
2,32,277061,House of Puff - Giveaway (not on calendar)
3,42,277061,House of Puff - Giveaway (not on calendar)
4,45,277061,House of Puff - Giveaway (not on calendar)
5,47,277061,House of Puff - Giveaway (not on calendar)
6,48,277061,House of Puff - Giveaway (not on calendar)
7,58,277061,House of Puff - Giveaway (not on calendar)
8,62,277061,House of Puff - Giveaway (not on calendar)
9,63,277061,House of Puff - Giveaway (not on calendar)
10,67,277061,House of Puff - Giveaway (not on calendar)
11,69,277061,House of Puff - Giveaway (not on calendar)
12,71,277061,House of Puff - Giveaway (not on calendar)
13,72,277061,House of Puff - Giveaway (not on calendar)
14,75,277061,House of Puff - Giveaway (not on calendar)
15,77,277061,House of Puff - Giveaway (not on calendar)
16,77,277061,House of Puff - Giveaway (not on calendar)
17,80,277061,House of Puff - Giveaway (not on calendar)
18,83,277061,House of Puff - Giveaway (not on calendar)
19,84,277061,House of Puff - Giveaway (not on calendar)
20,85,277061,House of Puff - Giveaway (not on calendar)
21,88,277061,House of Puff - Giveaway (not on calendar)
22,90,277061,House of Puff - Giveaway (not on calendar)
23,91,277061,House of Puff - Giveaway (not on calendar)
24,91,277061,House of Puff - Giveaway (not on calendar)
25,91,277061,House of Puff - Giveaway (not on calendar)
26,92,277061,House of Puff - Giveaway (not on calendar)
27,94,277061,House of Puff - Giveaway (not on calendar)
28,94,277061,House of Puff - Giveaway (not on calendar)
29,96,277061,House of Puff - Giveaway (not on calendar)
30,97,277061,House of Puff - Giveaway (not on calendar)
31,97,277061,House of Puff - Giveaway (not on calendar)
32,98,277061,House of Puff - Giveaway (not on calendar)
33,100,277061,House of Puff - Giveaway (not on calendar)
34,101,277061,House of Puff - Giveaway (not on calendar)
35,105,277061,House of Puff - Giveaway (not on calendar)
36,105,277061,House of Puff - Giveaway (not on calendar)
37,105,277061,House of Puff - Giveaway (not on calendar)
38,105,277061,House of Puff - Giveaway (not on calendar)
39,106,277061,House of Puff - Giveaway (not on calendar)
40,108,277061,House of Puff - Giveaway (not on calendar)
41,108,277061,House of Puff - Giveaway (not on calendar)
42,108,277061,House of Puff - Giveaway (not on calendar)
43,108,277061,House of Puff - Giveaway (not on calendar)
44,108,277061,House of Puff - Giveaway (not on calendar)
45,111,277061,House of Puff - Giveaway (not on calendar)
46,113,277061,House of Puff - Giveaway (not on calendar)
47,114,277061,House of Puff - Giveaway (not on calendar)
48,114,277061,House of Puff - Giveaway (not on calendar)
49,117,277061,House of Puff - Giveaway (not on calendar)
50,118,277061,House of Puff - Giveaway (not on calendar)
51,118,277061,House of Puff - Giveaway (not on calendar)
52,118,277061,House of Puff - Giveaway (not on calendar)
53,118,277061,House of Puff - Giveaway (not on calendar)
54,118,277061,House of Puff - Giveaway (not on calendar)
55,118,277061,House of Puff - Giveaway (not on calendar)
56,119,277061,House of Puff - Giveaway (not on calendar)
57,120,277061,House of Puff - Giveaway (not on calendar)
58,120,277061,House of Puff - Giveaway (not on calendar)
59,120,277061,House of Puff - Giveaway (not on calendar)
60,121,277061,House of Puff - Giveaway (not on calendar)
61,121,277061,House of Puff - Giveaway (not on calendar)
62,121,277061,House of Puff - Giveaway (not on calendar)
63,121,277061,House of Puff - Giveaway (not on calendar)
64,121,277061,House of Puff - Giveaway (not on calendar)
65,121,277061,House of Puff - Giveaway (not on calendar)
66,121,277061,House of Puff - Giveaway (not on calendar)
67,121,277061,House of Puff - Giveaway (not on calendar)
68,121,277061,House of Puff - Giveaway (not on calendar)
69,121,277061,House of Puff - Giveaway (not on calendar)
70,121,277061,House of Puff - Giveaway (not on calendar)
71,121,277061,House of Puff - Giveaway (not on calendar)
72,121,277061,House of Puff - Giveaway (not on calendar)
73,121,277061,House of Puff - Giveaway (not on calendar)
74,121,277061,House of Puff - Giveaway (not on calendar)
75,121,277061,House of Puff - Giveaway (not on calendar)
76,121,277061,House of Puff - Giveaway (not on calendar)
77,121,277061,House of Puff - Giveaway (not on calendar)
78,122,277061,House of Puff - Giveaway (not on calendar)
79,122,277061,House of Puff - Giveaway (not on calendar)
80,122,277061,House of Puff - Giveaway (not on calendar)
81,122,277061,House of Puff - Giveaway (not on calendar)
82,122,277061,House of Puff - Giveaway (not on calendar)
83,122,277061,House of Puff - Giveaway (not on calendar)
84,122,277061,House of Puff - Giveaway (not on calendar)
85,122,277061,House of Puff - Giveaway (not on calendar)
86,122,277061,House of Puff - Giveaway (not on calendar)
87,122,277061,House of Puff - Giveaway (not on calendar)
88,122,277061,House of Puff - Giveaway (not on calendar)
89,122,277061,House of Puff - Giveaway (not on calendar)
90,122,277061,House of Puff - Giveaway (not on calendar)
1,0,292571,Back to Cool x Cloud Bar USQ
2,0,292571,Back to Cool x Cloud Bar USQ
3,0,292571,Back to Cool x Cloud Bar USQ
4,2,292571,Back to Cool x Cloud Bar USQ
5,2,292571,Back to Cool x Cloud Bar USQ
6,2,292571,Back to Cool x Cloud Bar USQ
7,2,292571,Back to Cool x Cloud Bar USQ
8,4,292571,Back to Cool x Cloud Bar USQ
9,4,292571,Back to Cool x Cloud Bar USQ
10,4,292571,Back to Cool x Cloud Bar USQ
11,4,292571,Back to Cool x Cloud Bar USQ
12,6,292571,Back to Cool x Cloud Bar USQ
13,6,292571,Back to Cool x Cloud Bar USQ
14,6,292571,Back to Cool x Cloud Bar USQ
15,6,292571,Back to Cool x Cloud Bar USQ
16,6,292571,Back to Cool x Cloud Bar USQ
17,6,292571,Back to Cool x Cloud Bar USQ
18,6,292571,Back to Cool x Cloud Bar USQ
19,6,292571,Back to Cool x Cloud Bar USQ
20,6,292571,Back to Cool x Cloud Bar USQ
21,6,292571,Back to Cool x Cloud Bar USQ
22,6,292571,Back to Cool x Cloud Bar USQ
23,6,292571,Back to Cool x Cloud Bar USQ
24,6,292571,Back to Cool x Cloud Bar USQ
25,7,292571,Back to Cool x Cloud Bar USQ
26,7,292571,Back to Cool x Cloud Bar USQ
27,7,292571,Back to Cool x Cloud Bar USQ
28,7,292571,Back to Cool x Cloud Bar USQ
29,8,292571,Back to Cool x Cloud Bar USQ
30,8,292571,Back to Cool x Cloud Bar USQ
31,8,292571,Back to Cool x Cloud Bar USQ
32,8,292571,Back to Cool x Cloud Bar USQ
33,8,292571,Back to Cool x Cloud Bar USQ
34,8,292571,Back to Cool x Cloud Bar USQ
35,8,292571,Back to Cool x Cloud Bar USQ
36,8,292571,Back to Cool x Cloud Bar USQ
37,8,292571,Back to Cool x Cloud Bar USQ
38,8,292571,Back to Cool x Cloud Bar USQ
39,8,292571,Back to Cool x Cloud Bar USQ
40,9,292571,Back to Cool x Cloud Bar USQ
41,9,292571,Back to Cool x Cloud Bar USQ
42,9,292571,Back to Cool x Cloud Bar USQ
43,10,292571,Back to Cool x Cloud Bar USQ
44,10,292571,Back to Cool x Cloud Bar USQ
45,11,292571,Back to Cool x Cloud Bar USQ
46,11,292571,Back to Cool x Cloud Bar USQ
47,11,292571,Back to Cool x Cloud Bar USQ
