event_id,airtable_record_id,event_name,event_date,event_type,series,brand_partners,internal_external,store_key,is_offsite,n_stores,has_control,cost_state,cost_recorded,direct_cost,shared_cost_allocated,gross_cost,brand_offset,net_tta_cost,shared_lines,expected_attendance,expected_attendance_raw,event_date_export,shared_cost_allocated_export,gross_cost_export,net_tta_cost_export,realloc_delta,built_at
recYQJJL2gbnI0FVQ-4,recYQJJL2gbnI0FVQ,Amy Sedaris Celebrity Guest Budtender,2023-09-26,TTA Brand Event,One-off,"",Internal,4,false,1,true,no_budget_linked,false,,,,,,0,,,2023-09-26,,,,0.0,2026-09-04 16:04:02.844652
recUhOBY1SDHjgkVP-4,recUhOBY1SDHjgkVP,Miss Grass Faces of Cannabis Gallery,2023-12-06,In-Store Activation,One-off,Miss Grass,Internal,4,false,1,true,no_budget_linked,false,,,,,,0,,,2023-12-06,,,,0.0,2026-09-04 16:04:02.844652
recY6FtQN5EjhArkG-1,recY6FtQN5EjhArkG,High + Cuisine: Cannacurious Supper Club,2024-01-24,TTA Brand Event,One-off,"",External,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-01-24,,,,0.0,2026-09-04 16:04:02.844652
recY6FtQN5EjhArkG-0,recY6FtQN5EjhArkG,High + Cuisine: Cannacurious Supper Club,2024-01-24,TTA Brand Event,One-off,"",External,0,true,1,false,no_budget_linked,false,,,,,,0,,,2024-01-24,,,,0.0,2026-09-04 16:04:02.844652
reccvhUL0Yuokw4yz-4,reccvhUL0Yuokw4yz,Edible NY: Lunar New Year,2024-02-06,Community Programming,One-off,"",External,4,false,1,true,no_budget_linked,false,,,,,,0,,,2024-02-06,,,,0.0,2026-09-04 16:04:02.844652
reccvhUL0Yuokw4yz-0,reccvhUL0Yuokw4yz,Edible NY: Lunar New Year,2024-02-06,Community Programming,One-off,"",External,0,true,1,false,no_budget_linked,false,,,,,,0,,,2024-02-06,,,,0.0,2026-09-04 16:04:02.844652
recBeTdQT84UeqFjc-4,recBeTdQT84UeqFjc,Edie Parker: The Devil's Lettuce,2024-02-09,Community Programming,One-off,Edie Parker,External,4,false,1,true,no_budget_linked,false,,,,,,0,,,2024-02-09,,,,0.0,2026-09-04 16:04:02.844652
recBeTdQT84UeqFjc-0,recBeTdQT84UeqFjc,Edie Parker: The Devil's Lettuce,2024-02-09,Community Programming,One-off,Edie Parker,External,0,true,1,false,no_budget_linked,false,,,,,,0,,,2024-02-09,,,,0.0,2026-09-04 16:04:02.844652
recCm6Ld9Z91KyLx0-4,recCm6Ld9Z91KyLx0,Tony Greenhand: Celebrity Joint Rolling,2024-02-15,In-Store Activation,One-off,"",Internal,4,false,1,true,no_budget_linked,false,,,,,,0,,,2024-02-15,,,,0.0,2026-09-04 16:04:02.844652
recogGy1T6gkpzxy1-4,recogGy1T6gkpzxy1,Weed Auntie Womxn Empowerment Brunch,2024-02-17,Community Programming,One-off,"",External,4,false,2,true,no_budget_linked,false,,,,,,0,,,2024-02-17,,,,0.0,2026-09-04 16:04:02.844652
recogGy1T6gkpzxy1-1,recogGy1T6gkpzxy1,Weed Auntie Womxn Empowerment Brunch,2024-02-17,Community Programming,One-off,"",External,1,false,2,true,no_budget_linked,false,,,,,,0,,,2024-02-17,,,,0.0,2026-09-04 16:04:02.844652
recogGy1T6gkpzxy1-0,recogGy1T6gkpzxy1,Weed Auntie Womxn Empowerment Brunch,2024-02-17,Community Programming,One-off,"",External,0,true,2,false,no_budget_linked,false,,,,,,0,,,2024-02-17,,,,0.0,2026-09-04 16:04:02.844652
rec5CZF24DbCQpoUo-4,rec5CZF24DbCQpoUo,Asian Cannabis Roundtable: Lunar New Year 24,2024-02-24,Community Programming,One-off,"",External,4,false,1,true,no_budget_linked,false,,,,,,0,,,2024-02-24,,,,0.0,2026-09-04 16:04:02.844652
rec5CZF24DbCQpoUo-0,rec5CZF24DbCQpoUo,Asian Cannabis Roundtable: Lunar New Year 24,2024-02-24,Community Programming,One-off,"",External,0,true,1,false,no_budget_linked,false,,,,,,0,,,2024-02-24,,,,0.0,2026-09-04 16:04:02.844652
rec9pNL0LSQuod5Om-1,rec9pNL0LSQuod5Om,Blessed & Highly Flavored: BHM Dinner,2024-02-28,TTA Brand Event,One-off,"Weekenders,Chef for Higher,B Noble,House of Puff",External,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-02-28,,,,0.0,2026-09-04 16:04:02.844652
recoDcjlqu4HdFXtn-1,recoDcjlqu4HdFXtn,DTBK Pop-Up: First Look Night 1,2024-03-01,In-Store Activation,One-off,"",Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-03-01,,,,0.0,2026-09-04 16:04:02.844652
recFF9Dx8bQfR0qnt-1,recFF9Dx8bQfR0qnt,DTBK Pop-Up First Look Night 2,2024-03-02,In-Store Activation,One-off,"",Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-03-02,,,,0.0,2026-09-04 16:04:02.844652
recwCPaiNcIDIj2YR-1,recwCPaiNcIDIj2YR,Girls Just Wanna Have Funds,2024-03-09,Community Programming,One-off,"",External,1,false,2,true,no_budget_linked,false,,,,,,0,,,2024-03-09,,,,0.0,2026-09-04 16:04:02.844652
recwCPaiNcIDIj2YR-4,recwCPaiNcIDIj2YR,Girls Just Wanna Have Funds,2024-03-09,Community Programming,One-off,"",External,4,false,2,true,no_budget_linked,false,,,,,,0,,,2024-03-09,,,,0.0,2026-09-04 16:04:02.844652
recs47cGkZUjkKYhu-1,recs47cGkZUjkKYhu,Why Are You Single? Comedy Show,2024-03-20,Community Programming,One-off,"",External,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-03-20,,,,0.0,2026-09-04 16:04:02.844652
recSfSt6KA5plX5fg-4,recSfSt6KA5plX5fg,Queers in Cannabis Happy Hour,2024-03-29,Community Programming,One-off,"Flamer,Drew Martin",External,4,false,2,true,no_budget_linked,false,,,,,,0,,,2024-03-29,,,,0.0,2026-09-04 16:04:02.844652
recSfSt6KA5plX5fg-1,recSfSt6KA5plX5fg,Queers in Cannabis Happy Hour,2024-03-29,Community Programming,One-off,"Flamer,Drew Martin",External,1,false,2,true,no_budget_linked,false,,,,,,0,,,2024-03-29,,,,0.0,2026-09-04 16:04:02.844652
recRjoQ0PUwEwfY04-1,recRjoQ0PUwEwfY04,Go Easy Cloud Adoption: DTBK 1,2024-04-05,In-Store Activation,One-off,Go Easy,Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-04-05,,,,0.0,2026-09-04 16:04:02.844652
recLP28x5oF9qneKp-4,recLP28x5oF9qneKp,Go Easy Cloud Adoption: USQ,2024-04-06,In-Store Activation,One-off,Go Easy,Internal,4,false,1,true,no_budget_linked,false,,,,,,0,,,2024-04-06,,,,0.0,2026-09-04 16:04:02.844652
recB0K9knbfKLiTc4-1,recB0K9knbfKLiTc4,Go Easy Cloud Adoption: DTBK 2,2024-04-07,In-Store Activation,One-off,"Go Easy,Hudson",Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-04-07,,,,0.0,2026-09-04 16:04:02.844652
rec5UKQcB8oBGK1i8-1,rec5UKQcB8oBGK1i8,Rage & Release 4/16,2024-04-16,In-Store Activation,One-off,Old Pal,Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-04-16,,,,0.0,2026-09-04 16:04:02.844652
recJHyP8fi0JYImAJ-4,recJHyP8fi0JYImAJ,High Vibrations at INTER_,2024-04-17,TTA Brand Event,One-off,"Grön,Tune,Sackville & Co,Bloom (The Bloom Brand)",External,4,false,2,true,no_budget_linked,false,,,,,,0,,,2024-04-17,,,,0.0,2026-09-04 16:04:02.844652
recJHyP8fi0JYImAJ-1,recJHyP8fi0JYImAJ,High Vibrations at INTER_,2024-04-17,TTA Brand Event,One-off,"Grön,Tune,Sackville & Co,Bloom (The Bloom Brand)",External,1,false,2,true,no_budget_linked,false,,,,,,0,,,2024-04-17,,,,0.0,2026-09-04 16:04:02.844652
rec6tJJvzfCwcHtwH-4,rec6tJJvzfCwcHtwH,So Many Issues With Lukas: Let's Get Baked,2024-04-18,TTA Brand Event,One-off,Edie Parker,External,4,false,2,true,no_budget_linked,false,,,,,,0,,,2024-04-18,,,,0.0,2026-09-04 16:04:02.844652
rec6tJJvzfCwcHtwH-1,rec6tJJvzfCwcHtwH,So Many Issues With Lukas: Let's Get Baked,2024-04-18,TTA Brand Event,One-off,Edie Parker,External,1,false,2,true,no_budget_linked,false,,,,,,0,,,2024-04-18,,,,0.0,2026-09-04 16:04:02.844652
rec9RgMOvAPetB3TH-1,rec9RgMOvAPetB3TH,Don't Tell Comedy: Dumbo,2024-04-19,Community Programming,One-off,"",External,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-04-19,,,,0.0,2026-09-04 16:04:02.844652
rec611M1QluGrG1kG-4,rec611M1QluGrG1kG,Don't Tell Comedy: Hell's Kitchen,2024-04-19,Community Programming,One-off,"",External,4,false,2,true,no_budget_linked,false,,,,,,0,,,2024-04-19,,,,0.0,2026-09-04 16:04:02.844652
rec611M1QluGrG1kG-2,rec611M1QluGrG1kG,Don't Tell Comedy: Hell's Kitchen,2024-04-19,Community Programming,One-off,"",External,2,false,2,true,no_budget_linked,false,,,,,,0,,,2024-04-19,,,,0.0,2026-09-04 16:04:02.844652
recUWGWfDSNc7dtJP-1,recUWGWfDSNc7dtJP,420 Radio: DTBK 2024,2024-04-20,In-Store Activation,One-off,Fernway,Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-04-20,,,,0.0,2026-09-04 16:04:02.844652
recLg7Yfo85NAIBga-4,recLg7Yfo85NAIBga,420 Radio: USQ 2024,2024-04-20,In-Store Activation,One-off,B Noble,Internal,4,false,1,true,no_budget_linked,false,,,,,,0,,,2024-04-20,,,,0.0,2026-09-04 16:04:02.844652
recHZi9zuS6u0qW06-1,recHZi9zuS6u0qW06,420 in Wonderland,2024-04-20,Community Programming,One-off,Off Hours,External,1,false,2,true,no_budget_linked,false,,,,,,0,,,2024-04-20,,,,0.0,2026-09-04 16:04:02.844652
recHZi9zuS6u0qW06-4,recHZi9zuS6u0qW06,420 in Wonderland,2024-04-20,Community Programming,One-off,Off Hours,External,4,false,2,true,no_budget_linked,false,,,,,,0,,,2024-04-20,,,,0.0,2026-09-04 16:04:02.844652
rec6T6WEcqboYKt8b-1,rec6T6WEcqboYKt8b,FLAMER 420 Picnic 2024,2024-04-20,TTA Brand Event,One-off,Flamer,Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-04-20,,,,0.0,2026-09-04 16:04:02.844652
recCWnfZwlkpKSojY-4,recCWnfZwlkpKSojY,Talib Kweli Secret Show,2024-04-20,TTA Brand Event,One-off,Continental Exotics,External,4,false,1,true,no_budget_linked,false,,,,,,0,,,2024-04-20,,,,0.0,2026-09-04 16:04:02.844652
recm0n1578z3p79lk-4,recm0n1578z3p79lk,Weed & Wellness,2024-04-21,Community Programming,One-off,"",External,4,false,2,true,no_budget_linked,false,,,,,,0,,,2024-04-21,,,,0.0,2026-09-04 16:04:02.844652
recm0n1578z3p79lk-1,recm0n1578z3p79lk,Weed & Wellness,2024-04-21,Community Programming,One-off,"",External,1,false,2,true,no_budget_linked,false,,,,,,0,,,2024-04-21,,,,0.0,2026-09-04 16:04:02.844652
recB6xX52xLXuJYE9-1,recB6xX52xLXuJYE9,Rage & Release 4/23,2024-04-23,In-Store Activation,One-off,Off Hours,Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-04-23,,,,0.0,2026-09-04 16:04:02.844652
recOFxf6DxXNsxopI-4,recOFxf6DxXNsxopI,Sustainable Stashbox Craft Class,2024-04-27,In-Store Activation,One-off,"",Internal,4,false,1,true,no_budget_linked,false,,,,,,0,,,2024-04-27,,,,0.0,2026-09-04 16:04:02.844652
recH83MuPVx2VtCDn-1,recH83MuPVx2VtCDn,Rage & Release 4/30,2024-04-30,In-Store Activation,One-off,Off Hours,Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-04-30,,,,0.0,2026-09-04 16:04:02.844652
recexBcN93C2MtDE5-1,recexBcN93C2MtDE5,BAM Spring Gala 2024,2024-05-01,Community Programming,One-off,"",External,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-05-01,,,,0.0,2026-09-04 16:04:02.844652
recQh8StVmYb3ym6n-1,recQh8StVmYb3ym6n,Nicki Minaj: Free Pizza for Barbz,2024-05-01,Community Programming,One-off,"",External,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-05-01,,,,0.0,2026-09-04 16:04:02.844652
recmG6KuPs27UbDMD-4,recmG6KuPs27UbDMD,NYC Cannabis Parade,2024-05-04,Community Programming,One-off,"",External,4,false,2,true,no_budget_linked,false,,,,,,0,,,2024-05-04,,,,0.0,2026-09-04 16:04:02.844652
recmG6KuPs27UbDMD-1,recmG6KuPs27UbDMD,NYC Cannabis Parade,2024-05-04,Community Programming,One-off,"",External,1,false,2,true,no_budget_linked,false,,,,,,0,,,2024-05-04,,,,0.0,2026-09-04 16:04:02.844652
recZxrK788PwW1ekd-2,recZxrK788PwW1ekd,Fifth Avenue Concierge Preview,2024-05-07,In-Store Activation,One-off,"",Internal,2,false,1,true,no_budget_linked,false,,,,,,0,,,2024-05-07,,,,0.0,2026-09-04 16:04:02.844652
recpMJG3e9RCmnySg-1,recpMJG3e9RCmnySg,Rage & Release 5/7,2024-05-07,In-Store Activation,One-off,Off Hours,Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-05-07,,,,0.0,2026-09-04 16:04:02.844652
recPXuVyLXpoFv8oc-2,recPXuVyLXpoFv8oc,Fifth Avenue Ribbon Cutting,2024-05-08,In-Store Activation,One-off,"",Internal,2,false,1,true,no_budget_linked,false,,,,,,0,,,2024-05-08,,,,0.0,2026-09-04 16:04:02.844652
recCVCC7tsrj4cwIY-2,recCVCC7tsrj4cwIY,"Mysha #MotherYourself 2024",2024-05-10,TTA Brand Event,One-off,Chime & Chill,External,2,false,3,true,no_budget_linked,false,,,,,,0,,,2024-05-10,,,,0.0,2026-09-04 16:04:02.844652
recCVCC7tsrj4cwIY-1,recCVCC7tsrj4cwIY,"Mysha #MotherYourself 2024",2024-05-10,TTA Brand Event,One-off,Chime & Chill,External,1,false,3,true,no_budget_linked,false,,,,,,0,,,2024-05-10,,,,0.0,2026-09-04 16:04:02.844652
