vm_name,pos_brand
Dank,dank. by definition
Ithica Organics,Ithaca Organics
Umami Concentrate,Umamii
Dr Solomons,Doctor Solomons
Level Tablets,Level
MyHii,MyHi
The Bettering Company,Bettering Co.
Clea,Clea Midlife
American Hash Concentrate,American Hash Makers
Botanist,The Botanist
Botonist,The Botanist
Head and Heal,Head & Heal
Pricilla's Garden,Priscillas Garden
Pricilla's Graden,Priscillas Garden
Papa & Barkely,Papa & Barkley
Heavy Heaters,Heavy Hitters
Smokies,Smokiez
Tribe Pets,TribeTokes
TribePets,TribeTokes
The Flower Mill,Flower Mill
Puffco rig,Puff Co
